	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	
year	band	exclude	soc_un	soc_box	soc_ubox	soc_uby	laid_un	laid_box	laid_ubox	laid_uby	lay_clutch	gen_dad_uby	soc_ci	gen_ci	sex	in_xfost_exp	raised_nest	soc_mom	gen_mom	soc_dad_raised	soc_dad_laid	gen_dad	d12_mass	d12_wing	d12_head	d12_bgluc	d12_sgluc	d12_dgluc	d15_acgluc	d12_lat	d12_time_mins	d15_mass	d15_time_mins	d12_base	d12_stress	d12_dex	d15_acth	note
2018	156181149		1	12	1_12	1_12_2018	1	12	1_12	1_12_2018	6	1_12_2018	138	138	M	yes	home	272107794	272107794	272107345	272107345	272107345	20.5	49.5	26					150	767	20.5	561	2.6	47.5	7	21	
2018	156181148		1	12	1_12	1_12_2018	1	12	1_12	1_12_2018	6	1_32_2018	138	132	F	yes	home	272107794	272107794	272107345	272107345	88004790	16.5	43	23.4					171	767	16.5	561	19.6	78.6	10.4	29.7	
2018	156181146		1	12	1_12	1_12_2018	1	12	1_12	1_12_2018	6	1_32_2018	138	132	F	yes	home	272107794	272107794	272107345	272107345	88004790	16.5	45	24.8					87	767	18.5	561	3.7	51.2	22.6	35.1	
2018	156181147		1	12	1_12	1_12_2018	1	12	1_12	1_12_2018	6	1_32_2018	138	132	M	yes	home	272107794	272107794	272107345	272107345	88004790	17.5	44	25.2					144	767	17.5	561	0.8	59.7	11.1	40.2	
2018	156181145		1	12	1_12	1_12_2018	1	12	1_12	1_12_2018	6	1_32_2018	138	132	M	yes	home	272107794	272107794	272107345	272107345	88004790	8	31	22.5					96	767			26.9	20.3			
2018	272107695		1	121	1_121	1_121_2018	1	121	1_121	1_121_2018	6		134		F	yes	home	272107750	272107750	272106615	272106615		13.5	25	21.5					180	754	14.25	544	5.1	9.5		45.8	
2018	272107694		1	121	1_121	1_121_2018	1	69	1_69	1_69_2018	5		134		F	yes	cross	272107750	272107808	272106615	185746899		13	26	21.8					177	754	16	544	8.3	14.1	3.2	16.8	
2018	272107827		1	17	1_17	1_17_2018	1	17	1_17	1_17_2018	5	1_32_2018	138	132	M	yes	home	272107153	272107153	156181128	156181128	88004790	13.8	33	22.6					117	778			2.7	35	7.8		
2018	272107828		1	17	1_17	1_17_2018	1	17	1_17	1_17_2018	5	1_17_2018	138	138	M	yes	home	272107153	272107153	156181128	156181128	156181128	11.8	30	22					167	778			2	11.2	4.9		
2018	272107826		1	17	1_17	1_17_2018	1	85	1_85	1_85_2018	5	1_85_2018	136	136	M	yes	cross	272107153	272106711	156181128	272107529	272107529	13	31	21.1					48	778			2.1	9.4	4.3		
2018	272107899		1	17	1_17	1_17_2018	1	85	1_85	1_85_2018	5	1_85_2018	136	136	F	yes	cross	272107153	272106711	156181128	272107529	272107529	9	27	23.2					69	778			22.4	7.3			
2018	272106829		1	32	1_32	1_32_2018	1	32	1_32	1_32_2018	5	1_121_2018	132	134	M	yes	home	272107802	272107802	88004790	88004790	272106615	24.3	46	26.4					40	860	19.5	650	3	6.5	3.6	11.2	
