uby	ubd	total_reads	year	unitbox	doy	box_in_study
1_104_2018	1_104_144	16	2018	1_104	144	Yes
1_104_2018	1_104_145	217	2018	1_104	145	Yes
1_104_2018	1_104_146	602	2018	1_104	146	Yes
1_104_2018	1_104_147	206	2018	1_104	147	Yes
1_104_2018	1_104_148	284	2018	1_104	148	Yes
1_104_2018	1_104_149	988	2018	1_104	149	Yes
1_104_2018	1_104_150	1149	2018	1_104	150	Yes
1_104_2018	1_104_151	697	2018	1_104	151	Yes
1_104_2018	1_104_152	3172	2018	1_104	152	Yes
1_104_2018	1_104_153	438	2018	1_104	153	Yes
1_104_2018	1_104_154	728	2018	1_104	154	Yes
1_104_2018	1_104_155	3176	2018	1_104	155	Yes
1_104_2018	1_104_156	616	2018	1_104	156	Yes
1_104_2018	1_104_157	523	2018	1_104	157	Yes
1_104_2018	1_104_158	2832	2018	1_104	158	Yes
1_104_2018	1_104_159	2552	2018	1_104	159	Yes
1_104_2018	1_104_160	2275	2018	1_104	160	Yes
1_104_2018	1_104_161	3336	2018	1_104	161	Yes
1_104_2018	1_104_162	3611	2018	1_104	162	Yes
1_104_2018	1_104_163	3500	2018	1_104	163	Yes
1_104_2018	1_104_164	4156	2018	1_104	164	Yes
1_104_2018	1_104_165	1736	2018	1_104	165	Yes
1_104_2018	1_104_166	177	2018	1_104	166	Yes
1_104_2018	1_104_169	4	2018	1_104	169	Yes
1_104_2018	1_104_173	1	2018	1_104	173	Yes
1_104_2018	1_104_174	1	2018	1_104	174	Yes
1_104_2018	1_104_175	7	2018	1_104	175	Yes
1_104_2018	1_104_176	23	2018	1_104	176	Yes
1_104_2018	1_104_179	18	2018	1_104	179	Yes
1_104_2018	1_104_180	2	2018	1_104	180	Yes
1_105_2019	1_105_102	81	2019	1_105	102	Yes
1_105_2019	1_105_103	214	2019	1_105	103	Yes
1_105_2019	1_105_104	44	2019	1_105	104	Yes
1_105_2019	1_105_106	406	2019	1_105	106	Yes
1_105_2019	1_105_107	53	2019	1_105	107	Yes
1_105_2019	1_105_109	55	2019	1_105	109	Yes
1_105_2019	1_105_110	133	2019	1_105	110	Yes
1_105_2019	1_105_111	279	2019	1_105	111	Yes
1_105_2019	1_105_112	234	2019	1_105	112	Yes
1_105_2019	1_105_115	10	2019	1_105	115	Yes
1_105_2019	1_105_120	5	2019	1_105	120	Yes
1_105_2019	1_105_148	268	2019	1_105	148	Yes
1_105_2019	1_105_149	399	2019	1_105	149	Yes
1_105_2019	1_105_150	705	2019	1_105	150	Yes
1_105_2019	1_105_151	670	2019	1_105	151	Yes
1_105_2019	1_105_152	826	2019	1_105	152	Yes
1_105_2019	1_105_153	683	2019	1_105	153	Yes
1_105_2019	1_105_154	437	2019	1_105	154	Yes
1_105_2019	1_105_155	444	2019	1_105	155	Yes
1_105_2019	1_105_156	451	2019	1_105	156	Yes
1_105_2019	1_105_157	339	2019	1_105	157	Yes
1_105_2019	1_105_158	476	2019	1_105	158	Yes
1_105_2019	1_105_159	718	2019	1_105	159	Yes
1_105_2019	1_105_160	455	2019	1_105	160	Yes
1_105_2019	1_105_161	271	2019	1_105	161	Yes
1_105_2019	1_105_162	368	2019	1_105	162	Yes
1_105_2019	1_105_163	467	2019	1_105	163	Yes
1_105_2019	1_105_164	141	2019	1_105	164	Yes
1_105_2019	1_105_165	407	2019	1_105	165	Yes
1_105_2019	1_105_166	424	2019	1_105	166	Yes
1_105_2019	1_105_167	347	2019	1_105	167	Yes
1_105_2019	1_105_168	734	2019	1_105	168	Yes
1_105_2019	1_105_169	729	2019	1_105	169	Yes
1_105_2019	1_105_170	830	2019	1_105	170	Yes
1_105_2019	1_105_171	520	2019	1_105	171	Yes
1_105_2019	1_105_172	849	2019	1_105	172	Yes
1_105_2019	1_105_173	752	2019	1_105	173	Yes
1_12_2018	1_12_149	1693	2018	1_12	149	Yes
1_12_2018	1_12_150	1864	2018	1_12	150	Yes
1_12_2018	1_12_151	1252	2018	1_12	151	Yes
1_12_2018	1_12_152	2515	2018	1_12	152	Yes
1_12_2018	1_12_153	402	2018	1_12	153	Yes
1_12_2018	1_12_154	353	2018	1_12	154	Yes
1_12_2018	1_12_155	650	2018	1_12	155	Yes
1_12_2018	1_12_156	326	2018	1_12	156	Yes
1_12_2018	1_12_157	230	2018	1_12	157	Yes
1_12_2018	1_12_158	724	2018	1_12	158	Yes
1_12_2018	1_12_159	1176	2018	1_12	159	Yes
1_12_2018	1_12_160	1459	2018	1_12	160	Yes
1_12_2018	1_12_161	812	2018	1_12	161	Yes
1_12_2018	1_12_162	1609	2018	1_12	162	Yes
1_12_2018	1_12_163	449	2018	1_12	163	Yes
1_12_2018	1_12_164	759	2018	1_12	164	Yes
1_12_2018	1_12_165	1846	2018	1_12	165	Yes
1_12_2018	1_12_166	1405	2018	1_12	166	Yes
1_12_2018	1_12_167	2452	2018	1_12	167	Yes
1_12_2018	1_12_168	1624	2018	1_12	168	Yes
1_12_2018	1_12_169	1417	2018	1_12	169	Yes
1_12_2018	1_12_170	1555	2018	1_12	170	Yes
1_12_2018	1_12_171	1300	2018	1_12	171	Yes
1_12_2018	1_12_172	1293	2018	1_12	172	Yes
1_12_2018	1_12_173	1077	2018	1_12	173	Yes
1_12_2018	1_12_174	7813	2018	1_12	174	Yes
1_12_2018	1_12_175	10075	2018	1_12	175	Yes
